experiment	agent_iteration	commit	time_us	status	description
1	0	HEAD	11371.68	keep	Baseline 'starting_point' — initial benchmark
2	1	HEAD	10295.46	keep	Complete rewrite of custom_kernel eliminating nn.Module construction. Stacks left_proj, right_proj, 
3	2	HEAD	9372.65	keep	Two targeted changes combined into one edit: (1) Replaced the single fused torch.cat + F.linear with
4	3	HEAD	6064.53	keep	Extracted the core computation (5 linear projections, sigmoid gates, mask application, bf16 bmm, lay
5	4	HEAD	9346.31	discard	Combined both directions into one edit: (1) Moved the input F.layer_norm inside _trimul_core so the 
6	5	HEAD	0.00	crash	Restored the experiment #4 structure (reduce-overhead + manual permute→bf16-bmm→permute in bf16) as 
7	6	HEAD	0.00	crash	Added module-level `_weight_cache` dict keyed by `id(weights['left_proj.weight'])`. On first call wi
8	7	HEAD	3794.52	keep	Single targeted change — switched `_trimul_compiled = torch.compile(_trimul_core, mode="reduce-overh
9	8	HEAD	0.00	crash	Both changes together in one edit: (1) Added `w_norm`/`b_norm` parameters to `_trimul_core` and move
10	9	HEAD	4488.87	discard	Moved `F.layer_norm(input_tensor, [dim], ...)`, `x.reshape(bs*N*N, dim)`, and `mask.reshape(bs*N*N, 
11	10	HEAD	3372.00	keep	Restored experiment #8's proven structure (LayerNorm outside, x_flat/mask_flat pre-computed and pass
12	11	HEAD	0.00	crash	Added module-level `_weight_cache` dict. In `custom_kernel`, compute `cache_key = (w_lp.data_ptr(), 
13	12	HEAD	3362.30	keep	Single targeted change — removed `.contiguous()` from the line `out = out.reshape(bs, hidden_dim, N,
14	13	HEAD	3363.97	discard	Single one-line change — added `fullgraph=True` to the `torch.compile` call: `_trimul_compiled = tor
15	14	HEAD	0.00	crash	A Triton kernel `fused_proj_transpose_kernel` that:
16	15	HEAD	4794.14	discard	`reorder_sigmoid_mask_kernel` — a Triton kernel where each program handles one spatial index `m` (gr
17	16	HEAD	3343.04	keep	Single targeted change — replaced `.to(torch.bfloat16)` with `.to(torch.float16)` for both left_4d a
18	17	HEAD	4439.33	discard	Cast `x_flat`, `mask_flat`, `fused_weight`, `w_norm2`, `b_norm2`, `w_out` to fp16 in `custom_kernel`
19	18	HEAD	4185.10	discard	Single one-line change — added `dynamic=True` to the compile call: `_trimul_compiled = torch.compile
20	19	HEAD	8170.43	discard	Single one-line change — replaced `mode="default"` with `mode="max-autotune-no-cudagraphs"` in the t
21	20	HEAD	3331.53	keep	Changed `_trimul_core` signature from `(x_flat, mask_flat, bs, N, hidden_dim, fused_weight, ...)` to
22	21	HEAD	4049.70	discard	Merged the entire computation into `_trimul_full` — a single function accepting individual weight te
23	22	HEAD	0.00	crash	Restored experiment #21's exact code (4D x_4d tensor, no Python int args, LayerNorm outside, per-cal
24	23	HEAD	4242.01	discard	Changed the bmm contraction from:
25	24	HEAD	3337.42	discard	Restored experiment #21's exact code: torch.compile(default) + LayerNorm outside compiled region + p
26	25	HEAD	3333.25	discard	Confirmed and re-wrote experiment #21's exact code unchanged. The file already contained the correct
