experiment	agent_iteration	commit	time_us	status	description
1	0	HEAD	394.73	keep	Baseline '0619_best' — initial benchmark
2	1	HEAD	0.00	crash	** Replaced the separate `torch.bmm(dO, V^T) → dP_groups` + `fused_softmax_bwd_batched` two-kernel s
3	2	HEAD	403.13	discard	** Replaced `fused_softmax_bwd_batched` with `fused_softmax_bwd_kernel` — a completely rewritten Tri
4	3	HEAD	5300.94	discard	** Replaced the two-step approach (separate BMM + Triton softmax kernel) with a single `fused_dp_sof
5	4	HEAD	915.39	discard	Rewrote `submission.py` to define `_attn_bwd_core` as a clean PyTorch function containing both BMMs 
6	5	HEAD	1992.74	discard	Replaced the previous (already compiled but potentially buggy) version with a clean, correct impleme
7	6	HEAD	2924.50	discard	Replaced the `torch.compile`-based submission with a two-stream concurrent BMM architecture + a new 
8	7	HEAD	2367.27	discard	Replaced `_softmax_bwd_kernel` with `_softmax_bwd_fused_kernel` that accepts the raw BMM output `dP_
9	8	HEAD	0.00	crash	** Two targeted changes to the existing submission:
10	9	HEAD	399.08	discard	** Replaced `fused_softmax_bwd_batched` (ROWS_PER_BLOCK batching, complex inner loop) with `fused_so
11	10	HEAD	1933.24	discard	** Removed the entire `fused_softmax_bwd_1row` Triton kernel and its invocation logic. Replaced with
12	11	HEAD	0.00	crash	** A single `_fused_attn_bwd_kernel` Triton kernel that:
13	12	HEAD	0.00	crash	** Added `fused_dP_softmax_bwd_kernel` — a Triton kernel where each program handles one `(batch*head
14	13	HEAD	404.47	discard	** Removed the `_side_stream`, `_dO_ready_event`, `_get_side_stream()` globals and all stream-relate
15	14	HEAD	599.21	discard	- Reshape `dO` as `[bs, sq, 8, 10, 128]` (free view), then do ONE `permute(0,2,3,1,4).contiguous()` 
16	15	HEAD	1953.94	discard	1. Removed the Triton softmax backward kernel entirely
17	16	HEAD	0.00	crash	**
18	17	HEAD	506.99	discard	**
19	18	HEAD	0.00	crash	**
20	19	HEAD	401.32	discard	Replaced the old `fused_softmax_bwd_batched` kernel with a new `softmax_bwd_one_row_per_program` ker
21	20	HEAD	0.00	crash	** A complete Triton kernel `flash_attn_bwd_kernel` with:
22	21	HEAD	447.29	discard	Instead of `grad_attn_output.permute(0,2,1,3).contiguous()` which creates `[bs, 80, sq, 128]`, the c
23	22	HEAD	0.00	crash	** Replaced `fused_softmax_bwd_batched` (with complex `static_range` batching and multi-pass loops) 
24	23	HEAD	396.12	discard	** Replaced the two-step `permute(0,2,1,3).contiguous()` → `reshape(bs*8, 10*sq, 128)` (which alloca
25	24	HEAD	735.63	discard	Replaced the Triton softmax-backward + concurrent-stream BMM baseline with a fully PyTorch-ops core 
26	25	HEAD	795.90	discard	Added `.contiguous()` calls on both transposed tensors before BMM:
